Index,Buy_Price,Buying Date,Sell_Price,Selling Date,PortFolio values,Position
0,26.64249992,14-11-2016,31.99500084,01-02-2017,12009.00851,Closed
1,36.79000092,12-06-2017,57.24750137,04-09-2018,17569.6228,Closed
2,47.90750122,12-11-2018,54.10499954,30-07-2019,18863.2612,Closed
3,49.07749939,05-08-2019,74.28749847,02-01-2020,24000.03454,Closed
4,75.23750305,24-02-2020,125.0199966,18-12-2020,30616.74716,Closed
5,123.7600021,22-02-2021,133.4100037,25-06-2021,31396.48224,Closed
6,143.9299927,20-09-2021,175.1100006,14-12-2021,33562.81376,Closed
7,164.4199982,20-01-2022,164.0200043,08-08-2022,33538.48619,Closed
8,154.8200073,06-09-2022,172.4799957,05-05-2023,34679.16489,Closed
9,182.1300049,04-08-2023,-,-,34679.16489,Open
